iter	Accuracy	MultiClass
0	0.5907034059	2.167099067
1	0.6356106824	2.138756984
2	0.6411256111	2.111126982
3	0.6480344229	2.084222036
4	0.650822189	2.059014094
5	0.6499939396	2.034824335
6	0.6507817866	2.012086295
7	0.6548422286	1.989201198
8	0.6559532948	1.967903232
9	0.6560947032	1.947429598
10	0.6568421478	1.927731475
11	0.6588218658	1.908716504
12	0.6592258899	1.891078928
13	0.661124803	1.8730418
14	0.6625590885	1.855399281
15	0.6631853258	1.838956792
16	0.6639327704	1.822832182
17	0.6668821462	1.80693407
18	0.666962951	1.791700678
19	0.6675285847	1.776593152
20	0.6673265727	1.762543489
21	0.6677103955	1.748411295
22	0.668255828	1.734809576
23	0.6683972365	1.722003519
24	0.6686598521	1.709075998
25	0.6681952244	1.696447904
26	0.6684982425	1.684118878
27	0.6692052846	1.672199314
28	0.6696699123	1.660555008
29	0.669932528	1.648765468
30	0.6705991677	1.637368428
31	0.6709425882	1.626541427
32	0.6708011798	1.615835171
33	0.6709425882	1.605447636
34	0.6707001737	1.59520648
35	0.6715082219	1.585029495
36	0.6705991677	1.575260119
37	0.6725990869	1.565351182
38	0.6729829098	1.555817432
39	0.6725990869	1.546902045
40	0.6734273363	1.537310696
41	0.6738313603	1.528456447
42	0.6741545796	1.519256931
43	0.6739727688	1.510494579
44	0.674194982	1.50226369
45	0.6750636338	1.49385755
46	0.6758918832	1.48558978
47	0.6757706759	1.478012688
48	0.6762151024	1.469828812
49	0.6774473759	1.46195252
50	0.6777099915	1.453997048
51	0.6786594481	1.44635205
52	0.6789826674	1.438891416
53	0.6804371541	1.431619915
54	0.6804371541	1.424746948
55	0.680921983	1.417721183
56	0.681225001	1.411037876
57	0.6813058058	1.404436722
58	0.6811845986	1.398512526
59	0.681326007	1.392399664
60	0.6816694275	1.385575398
61	0.682315866	1.379059996
62	0.6832653226	1.372650931
63	0.6840733708	1.366816863
64	0.6840733708	1.360615319
65	0.6846592057	1.354488636
66	0.6843359864	1.348860487
